Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp),New_car_Price
Coimbatore,2014,41016,Petrol,Automatic,Second,5.0,5.08,Hyundai,16.95,1197.0,78.9,
Bangalore,2012,67000,Diesel,Manual,First,5.0,6.25,Hyundai,22.32,1582.0,126.32,
Bangalore,2015,76927,Diesel,Automatic,First,5.0,22.75,Audi,15.73,1968.0,174.33,
Kolkata,2010,17088,Petrol,Manual,First,5.0,1.46,Chevrolet,18.6,1199.0,79.4,
Pune,2007,112808,Diesel,Manual,Second,5.0,2.05,Ford,17.8,1399.0,68.0,
Coimbatore,2014,74980,Diesel,Manual,First,5.0,4.08,Ford,20.0,1399.0,68.0,
Hyderabad,2014,44600,Petrol,Automatic,First,5.0,4.55,Maruti,23.1,998.0,67.04,
Mumbai,2013,37000,Diesel,Automatic,First,5.0,14.0,Mercedes-Benz,20.0,2143.0,107.3,
Ahmedabad,2016,21000,Petrol,Manual,First,5.0,10.9,Hyundai,15.8,1591.0,121.3,13.74
Bangalore,2010,81245,Petrol,Manual,First,5.0,2.45,Maruti,18.9,998.0,67.1,
Delhi,2013,70000,Diesel,Automatic,First,5.0,15.8,Mercedes-Benz,10.0,2148.0,170.0,
Mumbai,2017,4018,Petrol,Manual,First,5.0,8.25,Ford,18.88,1499.0,110.4,
Delhi,2013,70000,Diesel,Automatic,Second,5.0,8.5,Renault,13.73,1995.0,148.0,
Coimbatore,2016,56532,Diesel,Manual,First,7.0,15.54,Mahindra,16.0,2179.0,140.0,
Hyderabad,2013,26875,Petrol,Manual,First,8.0,2.35,Maruti,16.8,796.0,34.2,
Coimbatore,2015,72599,Petrol,Manual,First,5.0,4.32,Maruti,22.5,998.0,67.04,5.72
Jaipur,2008,205000,Diesel,Manual,Second,7.0,3.9,Ford,13.1,2499.0,141.0,
Hyderabad,2011,98000,Diesel,Manual,Second,5.0,5.2,Hyundai,22.32,1582.0,126.32,
Mumbai,2018,19500,Petrol,Manual,First,5.0,5.85,Hyundai,18.6,1197.0,81.83,
Bangalore,2013,68000,Petrol,Manual,Second,7.0,6.25,Maruti,16.02,1373.0,93.7,
Coimbatore,2019,19654,Diesel,Automatic,First,7.0,17.63,Mahindra,14.0,2179.0,155.0,21.33
Mumbai,2017,26000,Diesel,Manual,First,5.0,9.75,Maruti,23.65,1248.0,88.5,
Bangalore,2015,10000,Petrol,Automatic,First,2.0,55.0,Mercedes-Benz,18.1,3498.0,306.0,
Hyderabad,2011,75020,Diesel,Manual,First,5.0,4.1,Volkswagen,22.07,1199.0,73.9,
Hyderabad,2011,157000,Diesel,Manual,First,7.0,11.99,Toyota,12.55,2982.0,168.5,
Kochi,2017,43773,Diesel,Manual,First,7.0,13.54,Mahindra,16.0,2179.0,140.0,
Mumbai,2016,21000,Diesel,Automatic,First,5.0,56.0,Mercedes-Benz,17.9,2143.0,201.15,78.76
Chennai,2016,23280,Petrol,Manual,First,5.0,6.5,Honda,18.7,1199.0,88.7,
Pune,2013,88000,Diesel,Manual,First,5.0,4.75,Maruti,23.4,1248.0,74.0,
Hyderabad,2014,67000,Petrol,Manual,First,5.0,5.6,Hyundai,17.01,1591.0,121.3,
Coimbatore,2017,59636,Diesel,Automatic,First,7.0,29.2,Ford,10.91,3198.0,197.0,
Kolkata,2018,11000,Petrol,Manual,First,5.0,6.35,Hyundai,18.6,1197.0,81.83,
Mumbai,2013,60669,Petrol,Manual,First,5.0,4.95,Honda,16.8,1497.0,116.3,
Hyderabad,2018,12000,Diesel,Manual,First,5.0,8.5,Honda,27.4,1498.0,98.6,10.34
Kolkata,2013,35000,Petrol,Manual,First,5.0,4.5,Hyundai,17.1,1591.0,121.3,
Chennai,2015,65000,Diesel,Manual,First,7.0,5.5,Honda,24.2,1498.0,98.6,
Kochi,2013,39929,Diesel,Manual,First,7.0,6.56,Maruti,20.77,1248.0,88.8,
Pune,2014,49000,Petrol,Manual,First,5.0,2.3,Maruti,24.07,998.0,67.1,4.29
Pune,2004,77757,Diesel,Manual,Second,10.0,3.5,Toyota,13.1,2446.0,75.0,
Kochi,2016,21456,Petrol,Manual,First,5.0,4.55,Hyundai,20.36,1197.0,78.9,
Bangalore,2009,74000,Diesel,Automatic,Second,5.0,7.75,Skoda,17.0,1896.0,105.0,
Mumbai,2015,37000,Petrol,Manual,Second,5.0,5.25,Hyundai,18.6,1197.0,81.83,
Coimbatore,2013,108640,Diesel,Automatic,First,5.0,23.29,BMW,11.5,2993.0,235.0,
Mumbai,2016,38000,Diesel,Automatic,First,5.0,23.99,BMW,22.69,1995.0,190.0,
Pune,2010,80000,Petrol,Manual,First,5.0,1.79,Chevrolet,14.49,1399.0,92.7,
Mumbai,2011,47000,Diesel,Automatic,Second,5.0,13.9,Mercedes-Benz,14.21,2143.0,203.0,
Kolkata,2013,31000,Diesel,Automatic,First,5.0,18.95,Audi,17.68,1968.0,174.33,
Kolkata,2014,40000,Petrol,Manual,First,5.0,2.49,Maruti,20.51,998.0,67.04,
Jaipur,2016,4152,Petrol,Manual,First,5.0,3.15,Renault,25.17,799.0,53.3,
Mumbai,2017,51000,Diesel,Manual,First,5.0,6.45,Volkswagen,21.66,1498.0,108.62,10.04
Ahmedabad,2013,55000,Diesel,Manual,First,5.0,4.25,Volkswagen,22.07,1199.0,73.9,
Hyderabad,2014,58500,Petrol,Manual,First,5.0,2.75,Maruti,22.74,796.0,47.3,
Kochi,2017,58620,Petrol,Manual,First,5.0,7.14,Hyundai,18.6,1197.0,81.83,
Jaipur,2012,71172,Petrol,Manual,Third,5.0,3.5,Hyundai,17.0,1197.0,80.0,
Chennai,2017,12000,Diesel,Manual,First,5.0,7.3,Hyundai,22.54,1396.0,88.73,
Kolkata,2014,25000,Petrol,Manual,First,5.0,2.75,Maruti,20.51,998.0,67.04,
Bangalore,2017,43000,Diesel,Manual,Second,5.0,8.2,Hyundai,22.54,1396.0,88.73,
Mumbai,2015,57022,Petrol,Automatic,First,5.0,6.51,Volkswagen,17.21,1197.0,103.6,
Pune,2015,92000,Diesel,Manual,First,5.0,4.25,Ford,20.0,1399.0,68.05,
Coimbatore,2014,33372,Petrol,Manual,Second,5.0,6.21,Maruti,18.6,1197.0,85.8,
Kochi,2016,52625,Diesel,Manual,First,5.0,4.58,Hyundai,24.0,1120.0,70.0,
Chennai,2016,215000,Diesel,Manual,First,7.0,7.5,Mahindra,14.02,2179.0,118.3,11.67
Delhi,2012,65537,CNG,Manual,First,5.0,2.1,Maruti,26.83,796.0,38.4,
Coimbatore,2014,60138,Petrol,Manual,First,5.0,4.09,Hyundai,19.81,1086.0,68.05,
Mumbai,2014,84000,Diesel,Automatic,First,5.0,10.75,Skoda,19.3,1968.0,141.0,
Mumbai,2014,47000,Diesel,Automatic,First,7.0,41.5,BMW,15.97,2993.0,258.0,
Hyderabad,2014,33450,Petrol,Automatic,First,5.0,4.4,Maruti,23.1,998.0,67.04,
Jaipur,2013,125000,Diesel,Manual,Second,5.0,6.25,Volkswagen,20.54,1598.0,103.6,
Pune,2011,99606,Diesel,Automatic,Second,5.0,10.5,BMW,16.07,1995.0,181.0,
Mumbai,2014,64000,Diesel,Manual,First,7.0,7.25,Maruti,20.77,1248.0,88.8,
Hyderabad,2013,51000,Diesel,Manual,First,5.0,3.2,Ford,20.0,1399.0,68.05,
Mumbai,2014,57000,Petrol,Manual,First,5.0,3.95,Volkswagen,16.47,1198.0,74.0,
Coimbatore,2009,48040,Diesel,Automatic,Second,5.0,12.07,Audi,16.77,2967.0,241.38,
Pune,2017,43200,Diesel,Manual,First,7.0,18.6,Toyota,13.68,2393.0,147.8,25.52
Delhi,2013,66000,Diesel,Automatic,First,5.0,5.7,Hyundai,22.32,1582.0,126.3,
Kolkata,2013,31000,Petrol,Manual,First,5.0,1.75,Hyundai,17.92,1086.0,62.1,
Delhi,2011,46000,Diesel,Automatic,Second,5.0,10.99,Audi,16.55,1968.0,147.51,
Kolkata,2012,47346,Diesel,Automatic,First,5.0,14.5,Audi,16.55,1968.0,147.51,
Jaipur,2009,100000,Diesel,Manual,First,5.0,3.11,Skoda,17.0,1896.0,105.0,
Coimbatore,2015,63856,Petrol,Automatic,First,5.0,13.96,Honda,13.7,1997.0,153.86,
Coimbatore,2015,72996,Diesel,Manual,First,5.0,7.11,Hyundai,22.32,1582.0,126.32,
Chennai,2014,23000,Diesel,Manual,First,7.0,6.9,Honda,24.5,1498.0,98.6,
Coimbatore,2018,15985,Petrol,Manual,First,5.0,7.77,Hyundai,18.6,1197.0,81.83,
Kolkata,2011,98000,Diesel,Manual,Second,8.0,5.5,Toyota,12.8,2494.0,102.0,
Hyderabad,2014,70089,Petrol,Manual,First,5.0,5.35,Hyundai,18.6,1197.0,81.83,
Chennai,2011,99000,Diesel,Manual,Second,7.0,4.5,Mahindra,13.6,2523.0,63.0,
Jaipur,2014,72000,Diesel,Manual,First,5.0,4.75,Volkswagen,20.34,1498.0,103.2,
Coimbatore,2015,44194,Diesel,Automatic,First,5.0,32.8,Jaguar,16.36,2179.0,187.7,
Mumbai,2005,102000,Petrol,Manual,First,5.0,0.7,Maruti,17.3,993.0,60.0,
Coimbatore,2018,56652,Diesel,Automatic,First,5.0,50.29,Mercedes-Benz,13.0,2987.0,258.0,
Mumbai,2010,41650,Diesel,Manual,Second,7.0,10.99,Toyota,11.5,2982.0,171.0,
Coimbatore,2015,61717,Petrol,Automatic,First,5.0,5.57,Hyundai,18.9,1197.0,82.0,
Jaipur,2018,25302,Diesel,Manual,First,5.0,5.9,Hyundai,25.4,1186.0,73.97,8.56
Coimbatore,2016,47016,Petrol,Manual,First,5.0,9.43,Hyundai,15.29,1591.0,121.3,
Bangalore,2010,69000,Petrol,Manual,First,5.0,2.9,Hyundai,20.36,1197.0,78.9,
Delhi,2016,32700,Petrol,Manual,First,5.0,3.68,Honda,19.4,1198.0,86.8,
Coimbatore,2015,101337,Diesel,Automatic,First,7.0,21.67,Toyota,12.55,2982.0,168.5,
Ahmedabad,2011,59000,Diesel,Automatic,First,5.0,12.5,Audi,16.55,1968.0,140.0,
Kochi,2018,41736,Diesel,Automatic,First,7.0,19.92,Toyota,11.36,2755.0,171.5,27.0
Jaipur,2014,71649,Diesel,Manual,First,5.0,6.75,Honda,25.1,1498.0,98.6,
Kochi,2015,80606,Diesel,Manual,First,5.0,6.96,Honda,25.1,1498.0,98.6,
Jaipur,2017,63262,Petrol,Manual,First,5.0,3.25,Renault,21.7,999.0,67.0,4.78
Hyderabad,2018,5456,Diesel,Manual,First,5.0,8.65,Maruti,28.4,1248.0,74.0,
Pune,2017,7500,Petrol,Automatic,First,5.0,5.0,Maruti,23.1,998.0,67.04,6.14
Delhi,2011,66000,Diesel,Manual,First,7.0,5.5,Mahindra,15.1,2179.0,140.0,
Jaipur,2010,66770,Petrol,Manual,Second,5.0,2.6,Hyundai,20.36,1197.0,78.9,
Kochi,2014,58472,Petrol,Manual,First,5.0,3.41,Hyundai,19.81,1086.0,68.05,
Kolkata,2011,46687,Petrol,Manual,First,5.0,2.7,Maruti,22.0,1197.0,81.8,7.3
Chennai,2008,77000,Petrol,Automatic,Fourth & Above,5.0,5.5,Maruti,9.7,1995.0,163.5,
Kolkata,2012,7000,Petrol,Automatic,First,4.0,35.0,Audi,14.33,1984.0,226.6,
Mumbai,2011,48000,Petrol,Automatic,Second,5.0,9.75,Mercedes-Benz,14.74,1991.0,184.0,
Mumbai,2013,47000,Diesel,Manual,First,5.0,4.25,Nissan,21.64,1461.0,84.8,
Ahmedabad,2015,51530,Petrol,Manual,First,5.0,3.2,Maruti,18.9,998.0,67.1,
Bangalore,2014,25789,Diesel,Manual,Second,5.0,6.85,Maruti,23.4,1248.0,74.0,
Delhi,2015,48000,Diesel,Manual,First,5.0,4.5,Honda,25.8,1498.0,98.6,
Delhi,2012,52000,Diesel,Manual,First,5.0,3.55,Maruti,28.4,1248.0,74.0,
Hyderabad,2010,95637,CNG,Manual,Second,5.0,1.9,Hyundai,13.2,1495.0,93.7,
Hyderabad,2008,131000,Diesel,Manual,First,7.0,3.6,Mahindra,10.5,2609.0,120.0,
Kochi,2015,42076,Diesel,Automatic,First,5.0,21.8,Mercedes-Benz,13.0,2143.0,201.1,
Mumbai,2012,76000,Diesel,Manual,Second,7.0,13.5,Toyota,13.0,2982.0,168.5,
Bangalore,2016,20487,Petrol,Manual,First,5.0,2.66,Datsun,22.7,799.0,53.64,4.37
Delhi,2010,43000,Petrol,Manual,Second,5.0,3.75,Honda,16.8,1497.0,116.3,
Pune,2018,17000,Petrol,Automatic,First,5.0,32.0,Toyota,19.16,2494.0,158.2,
Coimbatore,2016,60805,Diesel,Manual,First,5.0,8.07,Honda,26.0,1498.0,98.6,
Kochi,2012,58775,Diesel,Manual,First,5.0,5.64,Volkswagen,19.33,1968.0,138.1,
Hyderabad,2013,70181,Diesel,Automatic,First,5.0,23.99,Audi,17.68,1968.0,174.33,
Coimbatore,2016,85827,Diesel,Manual,First,7.0,7.5,Maruti,20.77,1248.0,88.76,
Jaipur,2016,58205,Diesel,Automatic,First,5.0,27.0,Mercedes-Benz,19.27,2143.0,167.62,
Mumbai,2008,91000,Diesel,Manual,Second,5.0,2.85,Maruti,19.3,1248.0,73.9,
Pune,2012,74000,Diesel,Manual,First,5.0,6.35,Renault,19.01,1461.0,108.45,
Hyderabad,2010,79324,Diesel,Manual,First,5.0,3.3,Maruti,21.1,1248.0,73.9,
Bangalore,2013,38623,Petrol,Manual,First,5.0,5.0,Maruti,19.1,1197.0,85.8,
Coimbatore,2014,59923,Diesel,Manual,First,5.0,6.46,Maruti,22.9,1248.0,74.0,
Jaipur,2017,23360,Petrol,Manual,First,5.0,3.75,Hyundai,21.1,814.0,55.2,
Kochi,2003,61495,Petrol,Manual,Third,5.0,1.52,Maruti,17.3,993.0,60.0,
Coimbatore,2012,56661,Petrol,Manual,First,7.0,3.61,Maruti,15.1,1196.0,73.0,4.98
Coimbatore,2017,40318,Diesel,Automatic,First,5.0,43.74,Audi,14.16,1968.0,174.3,
Chennai,2014,60000,Diesel,Automatic,First,5.0,20.0,Audi,15.73,1968.0,174.33,
Hyderabad,2010,130000,Diesel,Manual,First,5.0,3.65,Maruti,19.3,1248.0,73.9,
Mumbai,2013,20000,Diesel,Manual,First,10.0,5.25,Tata,14.07,1978.0,83.1,
Hyderabad,2016,76000,Diesel,Automatic,First,7.0,58.0,BMW,15.97,2993.0,258.0,
Mumbai,2015,30000,Petrol,Automatic,First,5.0,8.65,Honda,18.0,1497.0,117.3,15.29
Delhi,2015,150000,Diesel,Manual,First,5.0,2.5,Tata,25.0,1396.0,69.01,
Chennai,2014,28000,Petrol,Automatic,First,5.0,7.75,Volkswagen,16.93,1197.0,103.6,
Bangalore,2015,74000,Petrol,Manual,First,5.0,4.15,Maruti,23.1,998.0,67.04,
Delhi,2011,75000,Diesel,Manual,First,7.0,10.85,Toyota,11.5,2982.0,171.0,
Delhi,2010,76000,Petrol,Automatic,Second,5.0,5.53,Mitsubishi,11.3,2360.0,170.0,
Pune,2014,64889,Diesel,Automatic,First,5.0,11.5,Volkswagen,15.5,1896.0,105.0,
Kolkata,2015,43000,Diesel,Manual,First,5.0,9.25,Hyundai,19.67,1582.0,126.2,
Pune,2011,47490,Petrol,Manual,First,5.0,2.29,Skoda,17.5,1198.0,75.0,
Chennai,2015,80000,Diesel,Manual,First,5.0,7.0,Ford,22.77,1498.0,98.59,
Bangalore,2007,60000,Petrol,Manual,Second,5.0,1.65,Maruti,18.2,1061.0,64.0,
Ahmedabad,2017,6006,Petrol,Manual,First,5.0,8.25,Maruti,20.73,1373.0,91.1,
Kochi,2011,71703,Petrol,Automatic,First,5.0,9.14,Mercedes-Benz,14.74,1991.0,181.03,
Hyderabad,2016,33000,Petrol,Manual,First,5.0,6.5,Honda,17.8,1198.0,86.7,
Jaipur,2015,91000,Diesel,Manual,First,5.0,5.75,Renault,19.87,1461.0,83.8,
Hyderabad,2012,72000,LPG,Manual,First,5.0,2.85,Maruti,26.2,998.0,58.2,
Kolkata,2011,43000,Petrol,Manual,Second,5.0,2.1,Volkswagen,16.47,1198.0,73.9,
Coimbatore,2017,63770,Diesel,Manual,First,5.0,13.55,Hyundai,19.67,1582.0,126.2,
Kolkata,2012,43510,Diesel,Automatic,First,5.0,20.5,Jaguar,14.74,2993.0,270.9,
Mumbai,2017,52000,Diesel,Manual,First,5.0,20.0,Jeep,16.3,1956.0,170.0,24.26
Kochi,2018,31427,Diesel,Automatic,First,5.0,59.72,Land,15.68,1999.0,177.0,75.12
Kolkata,2016,29000,Diesel,Manual,First,5.0,6.5,Maruti,27.39,1248.0,74.0,9.53
Ahmedabad,2016,56000,Diesel,Manual,First,5.0,7.5,Maruti,28.09,1248.0,88.5,
Jaipur,2007,76000,Petrol,Manual,Second,5.0,2.15,Maruti,15.0,1586.0,104.68,
Coimbatore,2015,53615,Diesel,Manual,First,5.0,8.44,Hyundai,22.7,1582.0,126.24,
Bangalore,2013,132000,Diesel,Manual,First,7.0,12.49,Mitsubishi,13.5,2477.0,175.56,34.6
Pune,2017,14800,Petrol,Manual,First,5.0,5.48,Volkswagen,17.0,1198.0,73.75,
Hyderabad,2013,35433,Petrol,Manual,First,5.0,4.2,Maruti,18.5,1197.0,85.8,
Hyderabad,2013,82966,Diesel,Manual,First,5.0,7.2,Hyundai,16.8,1493.0,110.0,
Jaipur,2014,96000,Diesel,Manual,First,5.0,4.8,Maruti,23.4,1248.0,74.0,
Kochi,2017,39528,Diesel,Manual,First,6.0,5.83,Mahindra,25.32,1198.0,77.0,
Coimbatore,2018,92056,Diesel,Manual,First,7.0,18.39,Toyota,13.68,2393.0,147.8,26.45
Pune,2016,14930,Petrol,Manual,First,5.0,5.85,Maruti,21.4,1197.0,83.1,
Mumbai,2016,38000,Diesel,Manual,First,5.0,6.21,Honda,27.3,1498.0,98.6,11.15
Delhi,2013,71000,Petrol,Manual,First,5.0,3.65,Hyundai,17.0,1197.0,80.0,
Delhi,2012,71000,Diesel,Manual,First,5.0,3.7,Hyundai,23.0,1396.0,90.0,
Pune,2015,50000,Diesel,Automatic,First,5.0,30.0,Mercedes-Benz,19.27,2143.0,167.62,
Kochi,2016,48163,Petrol,Manual,First,5.0,4.85,Hyundai,19.1,1197.0,82.0,
Coimbatore,2017,19168,Petrol,Automatic,First,5.0,6.93,Hyundai,18.9,1197.0,82.0,
Kolkata,2016,26000,Petrol,Manual,First,5.0,2.6,Maruti,22.74,796.0,47.3,
Kolkata,2014,37400,Petrol,Manual,First,5.0,1.89,Chevrolet,18.2,1199.0,82.5,
Mumbai,2018,8682,Diesel,Automatic,First,5.0,39.5,Mercedes-Benz,0.0,1950.0,194.0,52.26
Mumbai,2012,95000,Petrol,Automatic,First,5.0,10.0,Skoda,13.7,1798.0,157.75,
Kolkata,2009,34000,Diesel,Automatic,First,5.0,9.95,Audi,16.55,1968.0,147.51,
Mumbai,2014,95000,Diesel,Manual,Second,8.0,9.45,Toyota,12.8,2494.0,102.0,
Coimbatore,2017,13689,Diesel,Automatic,First,5.0,28.25,Mercedes-Benz,17.9,2143.0,136.0,
Jaipur,2008,84000,Petrol,Manual,Second,5.0,1.8,Hyundai,19.81,1086.0,68.05,
Kolkata,2008,47000,Petrol,Manual,Second,5.0,1.4,Maruti,17.5,1298.0,85.8,
Ahmedabad,2015,60001,Diesel,Automatic,First,5.0,7.25,Skoda,21.66,1498.0,103.52,
Hyderabad,2012,96000,Diesel,Manual,First,5.0,3.6,Maruti,21.1,1248.0,73.9,
Jaipur,2004,47300,Petrol,Manual,Second,5.0,1.2,Hyundai,14.4,1599.0,94.0,
Coimbatore,2014,28246,Petrol,Manual,Second,5.0,4.94,Honda,17.8,1198.0,86.7,
Delhi,2007,65000,Petrol,Manual,Second,5.0,1.25,Maruti,18.9,998.0,67.1,
Chennai,2013,68000,Diesel,Manual,Second,5.0,4.8,Volkswagen,22.07,1199.0,73.9,
Kochi,2019,11209,Diesel,Automatic,First,7.0,31.15,Ford,12.62,2198.0,158.0,
Pune,2011,41980,Petrol,Manual,Second,5.0,3.3,Hyundai,17.0,1197.0,80.0,
Bangalore,2012,65000,Diesel,Manual,First,5.0,2.4,Chevrolet,25.44,936.0,57.6,
Kolkata,2010,38000,Petrol,Manual,First,5.0,2.0,Honda,14.8,1799.0,130.2,
Pune,2014,51000,Petrol,Manual,First,5.0,3.1,Maruti,20.51,998.0,67.04,
Kochi,2014,33855,Petrol,Manual,First,5.0,5.09,Skoda,15.0,1598.0,103.6,
Pune,2006,146000,Petrol,Manual,Second,5.0,1.05,Maruti,15.4,1590.0,94.0,
Bangalore,2015,47037,Diesel,Manual,Second,5.0,7.0,Ford,22.77,1498.0,98.59,
Ahmedabad,2010,58000,Petrol,Manual,Second,5.0,2.5,Hyundai,13.2,1495.0,94.0,
Mumbai,2012,61240,Diesel,Automatic,First,5.0,17.5,BMW,22.48,1995.0,190.0,70.43
Chennai,2011,91211,Petrol,Manual,First,5.0,2.1,Maruti,20.92,998.0,67.1,
Bangalore,2013,84000,Diesel,Automatic,First,5.0,17.75,Audi,15.73,1968.0,174.33,
Mumbai,2008,64226,LPG,Manual,First,5.0,1.45,Maruti,17.3,1061.0,57.5,
Bangalore,2005,67000,Petrol,Automatic,Second,5.0,2.45,Toyota,11.3,1794.0,125.0,
Pune,2011,106976,Diesel,Automatic,First,5.0,13.8,Volvo,13.5,2400.0,215.0,
Kolkata,2016,27210,Diesel,Manual,First,5.0,5.85,Honda,27.3,1498.0,98.6,
Delhi,2017,26322,Diesel,Manual,First,5.0,8.9,Maruti,28.09,1248.0,88.5,
Mumbai,2016,9107,Petrol,Manual,First,5.0,5.15,Maruti,20.4,1197.0,81.8,
Kochi,2015,63983,Diesel,Automatic,First,5.0,16.56,Mercedes-Benz,19.27,2143.0,170.0,
Chennai,2010,134000,Petrol,Manual,Second,5.0,1.65,Maruti,18.9,1061.0,67.0,
Pune,2015,11000,Petrol,Automatic,First,5.0,16.0,Mercedes-Benz,15.5,1595.0,120.7,
Pune,2008,93000,Petrol,Manual,First,5.0,1.45,Hyundai,0.0,1086.0,62.0,
Coimbatore,2017,24852,Diesel,Automatic,First,5.0,8.08,Maruti,26.59,1248.0,74.0,
Pune,2014,37632,Petrol,Automatic,First,5.0,4.5,Hyundai,18.9,1197.0,82.0,
Chennai,2013,55000,Petrol,Manual,Second,5.0,4.3,Nissan,16.95,1498.0,97.7,
Hyderabad,2010,81448,Petrol,Manual,First,5.0,2.6,Maruti,19.0,998.0,66.1,
Hyderabad,2018,1900,Petrol,Manual,First,5.0,4.45,Renault,25.17,799.0,53.3,4.8
Coimbatore,2012,54957,Petrol,Automatic,First,5.0,5.37,Hyundai,17.1,1591.0,121.4,
Chennai,2008,55000,Petrol,Manual,Second,5.0,1.75,Maruti,18.9,1061.0,67.0,
Kolkata,2013,21983,Diesel,Automatic,First,5.0,16.5,BMW,18.88,1995.0,184.0,
Delhi,2013,76000,Diesel,Automatic,First,5.0,19.0,BMW,18.48,1995.0,177.0,
Jaipur,2016,65000,Diesel,Manual,First,5.0,2.8,Tata,25.0,1396.0,69.01,
Hyderabad,2015,26000,Diesel,Manual,First,5.0,6.2,Hyundai,22.54,1396.0,88.73,
Kochi,2019,11571,Petrol,Manual,First,8.0,3.8,Maruti,16.8,796.0,34.2,
Hyderabad,2014,81000,Diesel,Manual,First,5.0,6.1,Maruti,25.2,1248.0,74.0,
Coimbatore,2019,23154,Diesel,Manual,First,5.0,11.65,Ford,23.0,1498.0,98.96,12.12
Mumbai,2014,26856,Petrol,Automatic,First,5.0,4.15,Honda,16.5,1198.0,86.8,
Chennai,2017,67489,Diesel,Manual,First,7.0,16.5,Toyota,13.68,2393.0,147.8,19.37
Bangalore,2008,176000,Diesel,Manual,Second,8.0,4.3,Mahindra,10.5,2179.0,120.0,
Kolkata,2010,18000,Petrol,Manual,First,5.0,2.25,Hyundai,18.5,1197.0,80.0,
Ahmedabad,2014,63003,Diesel,Manual,First,5.0,6.75,Hyundai,22.32,1582.0,126.32,
Chennai,2014,80000,Diesel,Manual,First,7.0,9.4,Mahindra,15.1,2179.0,140.0,
Coimbatore,2014,56658,Diesel,Manual,First,5.0,5.39,Volkswagen,20.64,1498.0,108.5,12.14
Kochi,2019,18592,Diesel,Manual,First,5.0,8.51,Maruti,26.59,1248.0,74.0,
Pune,2010,75695,Petrol,Manual,First,5.0,1.85,Tata,13.7,1368.0,88.8,
Kolkata,2012,82000,Diesel,Manual,Second,5.0,2.5,Maruti,22.9,1248.0,74.0,
Chennai,2013,60000,Diesel,Manual,First,5.0,4.75,Volkswagen,22.07,1199.0,73.9,
Pune,2009,138000,Petrol,Manual,Second,5.0,3.5,Honda,17.0,1497.0,118.0,
Bangalore,2014,67000,Diesel,Manual,First,5.0,5.5,Hyundai,23.0,1396.0,90.0,
Coimbatore,2012,42750,Petrol,Manual,First,5.0,6.33,Honda,17.0,1497.0,118.0,
Kochi,2014,52398,Diesel,Manual,First,5.0,2.47,Chevrolet,25.44,936.0,57.6,
Kochi,2014,36657,Petrol,Manual,First,5.0,3.3,Chevrolet,16.2,995.0,62.1,
Delhi,2011,77000,Diesel,Manual,Second,7.0,3.5,Tata,11.57,2179.0,138.1,
Delhi,2014,85000,Diesel,Automatic,First,7.0,38.75,Mercedes-Benz,11.3,2987.0,254.8,
Pune,2008,112500,Diesel,Automatic,First,5.0,7.99,BMW,11.5,2993.0,235.0,
Kochi,2013,105072,Diesel,Manual,First,7.0,13.28,Toyota,14.24,2755.0,174.5,36.69
Pune,2012,80000,Petrol,Automatic,First,5.0,9.5,BMW,11.25,1995.0,150.0,
Kochi,2019,3102,Diesel,Manual,First,5.0,14.01,Renault,20.37,1461.0,108.45,
Coimbatore,2016,14656,Diesel,Manual,First,5.0,6.99,Hyundai,24.4,1120.0,71.0,
Hyderabad,2010,105000,Diesel,Automatic,Second,5.0,11.0,BMW,13.2,1995.0,170.0,
Hyderabad,2008,61000,Petrol,Automatic,Second,5.0,11.0,BMW,10.8,2497.0,215.0,
Pune,2010,85046,Petrol,Manual,Second,5.0,2.3,Nissan,18.06,1198.0,75.0,
Delhi,2014,48000,Diesel,Automatic,First,5.0,26.5,Jaguar,16.36,2179.0,187.7,
Bangalore,2011,55000,Diesel,Automatic,First,7.0,67.0,Land,10.2,4367.0,308.0,
Mumbai,2017,4000,Petrol,Automatic,First,5.0,17.75,Jeep,16.0,1368.0,160.0,23.68
Delhi,2010,94000,Petrol,Automatic,Second,5.0,4.8,Honda,10.1,2354.0,152.0,
Coimbatore,2013,61110,Petrol,Manual,First,5.0,4.57,Maruti,18.6,1197.0,85.8,
Chennai,2016,80000,Diesel,Manual,First,5.0,3.5,Hyundai,24.4,1120.0,71.0,
Kochi,2015,43190,Diesel,Manual,First,5.0,7.61,Nissan,19.01,1461.0,108.5,
Hyderabad,2015,45000,Diesel,Automatic,First,5.0,25.0,Audi,18.25,1968.0,187.74,55.61
Coimbatore,2016,44178,Petrol,Manual,First,5.0,5.88,Hyundai,18.9,1197.0,82.0,
Hyderabad,2015,84415,Diesel,Manual,First,8.0,13.5,Toyota,12.99,2494.0,100.6,
Kolkata,2015,35000,Petrol,Manual,First,5.0,4.6,Hyundai,18.5,1197.0,80.0,
Kolkata,2013,44000,Diesel,Manual,First,5.0,4.9,Ford,22.77,1498.0,98.59,
Hyderabad,2012,67635,Petrol,Manual,First,5.0,5.25,Honda,17.0,1497.0,118.0,
Coimbatore,2018,18385,Petrol,Automatic,First,5.0,12.41,Ford,14.8,1497.0,121.36,14.1
Kolkata,2014,35000,Diesel,Manual,First,5.0,3.8,Volkswagen,22.07,1199.0,73.9,
